player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
408234, Miguel Cabrera,2020.666667,502.6666667,351.3333333,0.264,0.246,0.018,0.367,0.395666667,-0.028666667,0.307,-0.007666667,0.299333333,0.29,-0.936491591,0.013928129
444482, David Peralta,2020,516.25,365.5,0.2695,0.254,0.0155,0.4485,0.39875,0.04975,0.315,0.01875,0.33375,0.301,0.175438951,-0.795254811
453568, Charlie Blackmon,2020,622.25,457.5,0.28475,0.2795,0.00525,0.477,0.449,0.028,0.34325,0.008,0.35125,0.361,0.740827363,0.290707335
455117, Martin Maldonado,2020,395.75,252.5,0.199,0.1945,0.0045,0.34525,0.33425,0.011,0.268,0.00325,0.27125,0.247,-1.843805374,-0.262225986
456781, Donovan Solano,2020.666667,292,213.6666667,0.298,0.286,0.012,0.415,0.425,-0.01,0.331,-0.001333333,0.329666667,0.342,0.043514989,0.465092032
457705, Andrew McCutchen,2020,524.5,336.75,0.2425,0.2515,-0.009,0.42725,0.431,-0.00375,0.3465,-0.00925,0.33725,0.341,0.288516634,0.192567878
457759, Justin Turner,2020,529.75,384.25,0.2895,0.27875,0.01075,0.484,0.47475,0.00925,0.364,0.00275,0.36675,0.362,1.241599955,-0.182542749
462101, Elvis Andrus,2020,548.5,427.75,0.25575,0.257,-0.00125,0.371,0.371,2.26E-17,0.29925,-0.00525,0.294,0.28,-1.10880044,-0.088988114
467793, Carlos Santana,2020,632.5,438.75,0.2315,0.252,-0.0205,0.41175,0.43925,-0.0275,0.35025,-0.0215,0.32875,0.309,0.013899405,-0.41353519
474832, Brandon Belt,2020,437.75,273.5,0.2435,0.2385,0.005,0.441,0.468,-0.027,0.34925,-0.0105,0.33875,0.365,0.336978497,0.804646237
493329, Yuli Gurriel,2020,593.5,483.75,0.2875,0.26225,0.02525,0.44775,0.37,0.07775,0.302,0.03175,0.33375,0.297,0.175438951,-0.905344848
500743, Miguel Rojas,2020,525,422.5,0.25925,0.262,-0.00275,0.36,0.35325,0.00675,0.29525,-0.004,0.29125,0.251,-1.19764719,-0.798294133
